TripID;Departure nodeID;Arrival nodeID;Departure time;Arrival time
1;7514099;7510001;369;395
2;7510001;7510016;398;400
3;7510016;7510016;400;435
4;7510016;7510001;435;437
5;7510001;7510016;458;460
6;7510016;7510016;460;493
7;7510016;7510001;493;495
8;7510001;7510016;518;520
9;7510016;7510016;520;553
10;7510016;7510001;553;555
11;7510001;7510016;578;580
12;7510016;7510016;580;613
13;7510016;7510001;613;615
14;7510001;7510016;638;640
15;7510016;7510016;640;673
16;7510016;7510001;673;675
17;7510001;7510016;698;700
18;7510016;7510016;700;733
19;7510016;7510001;733;735
20;7510001;7510016;758;760
21;7510016;7510016;760;793
22;7510016;7510001;793;795
23;7510001;7510016;818;820
24;7510016;7510016;820;855
25;7510016;7510001;855;857
26;7510001;7510016;878;880
27;7510016;7510016;880;915
28;7510016;7510001;915;917
29;7510001;7510016;938;940
30;7510016;7510016;940;975
31;7510016;7510001;975;977
32;7510001;7510016;998;1000
33;7510016;7510016;1000;1033
34;7510016;7510001;1033;1035
35;7510001;7510016;1058;1060
36;7510016;7510016;1060;1091
37;7510016;7510001;1091;1093
38;7510001;7510016;1115;1117
39;7510016;7510016;1117;1144
40;7510016;7510001;1144;1146
41;7510001;7510016;1175;1177
42;7510016;7510016;1177;1204
43;7510016;7510001;1204;1206
44;7510001;7510016;1235;1237
45;7510016;7510016;1237;1264
46;7510016;7510001;1264;1266
47;7510001;7510016;1295;1297
48;7510016;7510016;1297;1324
49;7510016;7510001;1324;1326
50;7510001;7510016;1355;1357
51;7510016;7510016;1357;1384
52;7510016;7510001;1384;1386
53;7510001;7510016;1415;1417
54;7510016;7510016;1417;1444
55;7510016;7510001;1444;1446
56;7510001;7514099;1446;1467
57;7514099;7510001;331;357
58;7510001;7510016;360;362
59;7510016;7510016;362;393
60;7510016;7510001;393;395
61;7510001;7510016;428;430
62;7510016;7510016;430;465
63;7510016;7510001;465;467
64;7510001;7510016;488;490
65;7510016;7510016;490;523
66;7510016;7510001;523;525
67;7510001;7510016;548;550
68;7510016;7510016;550;583
69;7510016;7510001;583;585
70;7510001;7510016;608;610
71;7510016;7510016;610;643
72;7510016;7510001;643;645
73;7510001;7510016;668;670
74;7510016;7510016;670;703
75;7510016;7510001;703;705
76;7510001;7510016;728;730
77;7510016;7510016;730;763
78;7510016;7510001;763;765
79;7510001;7510016;788;790
80;7510016;7510016;790;823
81;7510016;7510001;823;825
82;7510001;7510016;848;850
83;7510016;7510016;850;885
84;7510016;7510001;885;887
85;7510001;7510016;908;910
86;7510016;7510016;910;945
87;7510016;7510001;945;947
88;7510001;7510016;968;970
89;7510016;7510016;970;1005
90;7510016;7510001;1005;1007
91;7510001;7510016;1028;1030
92;7510016;7510016;1030;1063
93;7510016;7510001;1063;1065
94;7510001;7510016;1088;1090
95;7510016;7514099;1090;1129
96;7514099;7514099;427;519
