DutyID;Paid time or cost of duty;Trips;Car travels
1;336;"57, 58, 59, 60, 96, 12, ";"1, 2, 3, "
2;336;"57, 58, 59, 60, 96, 12, 13, ";"1, 2, 6, "
3;343;"57, 58, 59, 60, 96, 12, 13, 14, ";"1, 2, 9, "
4;376;"57, 58, 59, 60, 96, 12, 13, 14, 15, ";"1, 2, 12, "
5;377;"57, 58, 59, 60, 96, 12, 13, 14, 15, 16, ";"1, 2, 15, "
6;403;"57, 58, 59, 60, 96, 12, 13, 14, 15, 16, 17, ";"1, 2, 18, "
7;436;"57, 58, 59, 60, 96, 12, 13, 14, 15, 16, 17, 18, ";"1, 2, 21, "
8;437;"57, 58, 59, 60, 96, 12, 13, 14, 15, 16, 17, 18, 19, ";"1, 2, 24, "
9;463;"57, 58, 59, 60, 96, 12, 13, 14, 15, 16, 17, 18, 19, 20, ";"1, 2, 27, "
10;336;"57, 58, 59, 60, 96, 13, ";"1, 29, 6, "
11;343;"57, 58, 59, 60, 96, 13, 14, ";"1, 29, 9, "
12;376;"57, 58, 59, 60, 96, 13, 14, 15, ";"1, 29, 12, "
13;377;"57, 58, 59, 60, 96, 13, 14, 15, 16, ";"1, 29, 15, "
14;403;"57, 58, 59, 60, 96, 13, 14, 15, 16, 17, ";"1, 29, 18, "
15;436;"57, 58, 59, 60, 96, 13, 14, 15, 16, 17, 18, ";"1, 29, 21, "
16;437;"57, 58, 59, 60, 96, 13, 14, 15, 16, 17, 18, 19, ";"1, 29, 24, "
17;463;"57, 58, 59, 60, 96, 13, 14, 15, 16, 17, 18, 19, 20, ";"1, 29, 27, "
18;496;"57, 58, 59, 60, 96, 13, 14, 15, 16, 17, 18, 19, 20, 21, ";"1, 29, 54, "
19;497;"57, 58, 59, 60, 96, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, ";"1, 29, 57, "
20;343;"57, 58, 59, 60, 96, 14, ";"1, 59, 9, "
21;376;"57, 58, 59, 60, 96, 14, 15, ";"1, 59, 12, "
22;377;"57, 58, 59, 60, 96, 14, 15, 16, ";"1, 59, 15, "
