TripID;Departure nodeID;Arrival nodeID;Departure time;Arrival time
1;5000012;5000041;345;375
2;5000041;50000014;375;442
3;50000014;5000041;457;522
4;5000041;50000014;540;607
5;50000014;5000041;617;682
6;5000041;50000014;695;762
7;50000014;5000041;777;842
8;5000041;50000014;855;922
9;50000014;5000041;937;1002
10;5000041;50000014;1020;1087
11;50000014;5000301;1107;1170
12;5000301;5000012;1170;1200
13;5000012;5000301;210;240
14;5000301;50000014;240;297
15;50000014;5000041;317;382
16;5000041;50000014;395;462
17;50000014;5000041;477;542
18;5000041;50000014;560;627
19;50000014;5000041;637;702
20;5000041;50000014;715;782
21;50000014;5000041;797;862
22;5000041;50000014;875;947
23;50000014;5000041;957;1022
24;5000041;50000014;1040;1107
25;50000014;5000301;1127;1190
26;5000301;50000014;1190;1230
27;50000014;5000301;1267;1325
28;5000301;5000012;1325;1355
29;5000012;5000301;240;270
30;5000301;50000014;270;332
31;50000014;5000041;347;412
32;5000041;50000014;415;482
33;50000014;5000301;507;575
34;5000301;50000014;575;642
35;50000014;5000301;647;710
36;5000301;50000014;710;772
37;50000014;5000301;787;850
38;5000301;50000014;850;912
39;50000014;5000301;927;995
40;5000301;50000014;995;1062
41;50000014;5000041;1077;1142
42;5000041;50000014;1155;1222
43;50000014;5000041;1237;1302
44;5000041;5000012;1302;1332
