CarTravelID;Departure nodeID;Arrival nodeID;Departure time;Arrival time
1;7514336;7515201;324;333
2;7515201;7514336;399;411
3;7514336;7515201;503;512
6;7514336;7515201;601;610
8;7515201;7514336;409;421
9;7514336;7515201;513;522
12;7514336;7515201;611;620
14;7515201;7514336;419;431
15;7514336;7515201;523;532
18;7514336;7515201;621;630
20;7514336;7515201;366;375
22;7514336;7515201;441;450
24;7514336;7515201;533;542
26;7515201;7514336;354;366
32;7515201;7514336;429;441
36;7514336;7515201;631;640
38;7514336;7515201;376;385
40;7514336;7515201;451;460
42;7514336;7515201;541;550
44;7515201;7514336;364;376
50;7515201;7514336;439;451
54;7514336;7515201;641;650
56;7515201;7514336;357;369
57;7514336;7515201;463;472
59;7515201;7514336;451;463
60;7514336;7515201;551;560
63;7514336;7515201;651;660
65;7514336;7515201;396;405
67;7514336;7515201;473;482
69;7515201;7514336;384;396
72;7515201;7514336;379;391
73;7514336;7515201;483;492
75;7514336;7515201;408;417
77;7514336;7515201;493;502
79;7514336;7515201;581;590
81;7515201;7514336;396;408
87;7515201;7514250;434;451
88;7514250;7515201;610;624
90;7515201;7514153;353;387
91;7514105;7515201;532;561
93;7515201;7514250;443;460
94;7514250;7515201;620;634
96;7515201;7514105;376;408
97;7514153;7515201;554;585
99;7515201;7514153;388;422
100;7514250;7515201;490;504
103;7514336;7515201;591;600
105;7515201;7514250;354;371
106;7514105;7515201;433;462
109;7514250;7515201;512;526
111;7515201;7514105;401;433
112;7514105;7515201;583;612
114;7514250;7515201;387;401
116;7514153;7515201;442;473
118;7514250;7515201;520;534
121;7515201;7514250;370;387
129;7515201;7514250;369;386
130;7514105;7515201;453;482
133;7514250;7515201;527;541
135;7515201;7514105;421;453
136;7514153;7515201;592;623
138;7514250;7515201;402;416
140;7514153;7515201;463;494
142;7514250;7515201;530;544
145;7515201;7514250;385;402
153;7515201;7514153;429;463
158;7514250;7515201;410;424
160;7514105;7515201;472;501
162;7514250;7515201;540;554
164;7515201;7514250;393;410
170;7515201;7514105;440;472
174;7514105;7515201;603;632
176;7515201;7514250;389;406
177;7514250;7515201;550;564
179;7515201;7514153;444;478
180;7514153;7515201;612;643
182;7514250;7515201;425;439
184;7514105;7515201;487;516
186;7514250;7515201;560;574
188;7515201;7514250;408;425
194;7515201;7514250;405;422
195;7514250;7515201;570;584
197;7515201;7514250;414;431
198;7514250;7515201;580;594
200;7514153;7515201;389;420
202;7514250;7515201;442;456
204;7515201;7514153;355;389
207;7515201;7514250;425;442
208;7514153;7515201;508;539
211;7514250;7515201;590;604
213;7514250;7515201;455;469
215;7514105;7515201;517;546
217;7514250;7515201;600;614
219;7515201;7514250;438;455
225;7514105;7515201;405;434
227;7514250;7515201;467;481
229;7514153;7515201;538;569
231;7515201;7514105;373;405
237;7515201;7514250;450;467
238;7514250;7515201;630;644
240;7514153;7515201;415;446
242;7514250;7515201;475;489
244;7514105;7515201;545;574
246;7515201;7514153;381;415
252;7514105;7515201;435;464
254;7514250;7515201;497;511
256;7514105;7515201;565;594
258;7515201;7514105;403;435
264;7514153;7515201;445;476
266;7514250;7515201;505;519
268;7514153;7515201;572;603
270;7515201;7514153;411;445
276;7515201;7514745;408;425
277;7514745;7515201;590;604
279;7515201;7514334;404;427
280;7514745;7515201;502;516
283;7514334;7515201;577;597
285;7514745;7515201;397;411
287;7514334;7515201;460;480
289;7514745;7515201;532;546
291;7515201;7514745;380;397
297;7515201;7514334;437;460
301;7514334;7515201;607;627
303;7514745;7515201;427;441
305;7514334;7515201;490;510
307;7514745;7515201;562;576
309;7515201;7514745;410;427
315;7514334;7515201;414;434
317;7514745;7515201;470;484
319;7514334;7515201;550;570
321;7515201;7514334;391;414
327;7515201;7514745;453;470
328;7514745;7515201;620;634
330;7514158;7515201;435;468
333;7514158;7515201;499;532
337;7514158;7515201;519;552
343;7514158;7515201;468;501
346;7515201;7514158;432;468
456;7514336;7515201;561;570
557;7514336;7515201;571;580
582;7514336;7515201;661;670
597;7514336;7515201;671;680
722;7514336;7515201;500;509
735;7514250;7515201;640;654
808;7514153;7515201;478;509
864;7515201;7514153;408;442
890;7514105;7515201;623;652
907;7514153;7515201;493;524
911;7514105;7515201;502;531
952;7514153;7515201;632;663
1015;7514105;7515201;643;672
1038;7514153;7515201;523;554
1155;7514250;7515201;650;664
1360;7514334;7515201;637;657
1397;7514745;7515201;650;664
1408;7514153;7515201;530;561
1414;7514105;7515201;539;568
1417;7514250;7515201;489;503
1420;7514336;7515201;507;516
1423;7514250;7515201;519;533
1428;7515201;7514153;401;435
1431;7514250;7515201;534;548
1434;7514153;7515201;485;516
1437;7514250;7515201;557;571
1440;7514153;7515201;500;531
1443;7514105;7515201;509;538
1446;7514153;7515201;545;576
1449;7514334;7515201;527;547
1452;7514334;7515201;557;577
1454;7515201;7514158;355;391
1456;7515201;7514158;392;428
1458;7514336;7515201;510;519
1460;7514336;7515201;470;479
1465;7514105;7515201;494;523
1468;7514250;7515201;504;518
1474;7514334;7515201;467;487
1477;7514334;7515201;497;517
1479;7514336;7515201;578;587
1486;7514336;7515201;520;529
1489;7514153;7515201;470;501
1492;7514105;7515201;524;553
1498;7514745;7515201;477;491
1501;7514158;7515201;526;559
1503;7514336;7515201;530;539
1505;7514336;7515201;540;549
1521;7514336;7515201;548;557
1527;7514250;7515201;567;581
1535;7514153;7515201;515;546
1545;7514250;7515201;577;591
1551;7514250;7515201;587;601
1553;7515201;7514105;414;446
1570;7514250;7515201;597;611
1575;7515201;7514153;422;456
1576;7515201;7514158;544;580
1587;7514105;7515201;552;581
1589;7514250;7515201;607;621
1596;7514153;7515201;561;592
1604;7514250;7515201;627;641
1612;7514250;7515201;637;651
1616;7514105;7515201;590;619
1618;7514153;7515201;599;630
1620;7514105;7515201;572;601
1622;7514153;7515201;579;610
1624;7514250;7515201;647;661
1633;7514250;7515201;547;561
1640;7514105;7515201;610;639
1652;7514745;7515201;597;611
1662;7514745;7515201;627;641
1668;7514158;7515201;545;578
1673;7514336;7515201;431;440
1677;7514336;7515201;345;354
1687;7514336;7515201;355;364
1696;7514336;7515201;375;384
1702;7514336;7515201;387;396
1710;7514336;7515201;361;370
1722;7514336;7515201;384;393
1726;7514336;7515201;399;408
1730;7514336;7515201;346;355
1734;7514336;7515201;427;436
1738;7514336;7515201;364;373
1742;7514336;7515201;372;381
1746;7514336;7515201;389;398
1750;7514336;7515201;397;406
1754;7514336;7515201;371;380
1760;7514336;7515201;401;410
1766;7514336;7515201;382;391
1772;7514336;7515201;437;446
2413;7514105;7515201;479;508
2419;7514250;7515201;474;488
2421;7514250;7515201;482;496
2426;7514336;7515201;568;577
2590;7514336;7515201;411;420
2591;7515201;7514336;491;503
2595;7514336;7515201;701;710
2597;7515201;7514336;501;513
2601;7514336;7515201;711;720
2603;7515201;7514336;511;523
2607;7514336;7515201;721;730
2609;7515201;7514336;521;533
2613;7514336;7515201;731;740
2621;7515201;7514336;529;541
2625;7514336;7515201;743;752
2633;7515201;7514336;539;551
2637;7514336;7515201;753;762
2639;7515201;7514336;461;473
2645;7515201;7514336;471;483
2651;7515201;7514336;481;493
2655;7514336;7515201;681;690
2660;7515201;7514105;500;532
2661;7514105;7515201;683;712
2663;7515201;7514250;465;482
2666;7515201;7514250;473;490
2673;7514336;7515201;691;700
2675;7515201;7514336;488;500
2681;7515201;7514250;495;512
2682;7514250;7515201;680;694
2684;7515201;7514250;503;520
2686;7515201;7514250;510;527
2690;7514250;7515201;690;704
2692;7515201;7514250;513;530
2700;7515201;7514250;523;540
2704;7514250;7515201;700;714
2709;7515201;7514250;533;550
2713;7514250;7515201;711;725
2715;7515201;7514105;455;487
2718;7515201;7514153;459;493
2721;7515201;7514105;470;502
2726;7515201;7514153;474;508
2727;7514153;7515201;652;683
2731;7515201;7514105;485;517
2732;7514105;7515201;663;692
2737;7515201;7514250;458;475
2743;7515201;7514250;480;497
2747;7514250;7515201;660;674
2749;7515201;7514250;488;505
2753;7514250;7515201;670;684
2755;7515201;7514334;497;520
2759;7514334;7515201;667;687
2761;7515201;7514745;485;502
2767;7515201;7514745;515;532
2771;7514745;7515201;680;694
2773;7515201;7514334;467;490
2782;7515201;7514334;527;550
2786;7514334;7515201;697;717
2788;7514158;7515201;538;571
2791;7514158;7515201;568;601
2794;7514158;7515201;595;628
2796;7515201;7514158;463;499
2833;7514336;7515201;763;772
2837;7514250;7515201;757;771
2861;7514153;7515201;692;723
2864;7514105;7515201;703;732
2907;7515201;7514336;534;546
2939;7515201;7514105;534;566
2943;7515201;7514250;534;551
2948;7514250;7515201;721;735
2972;7515201;7514153;534;568
2975;7515201;7514334;534;557
2979;7515201;7514745;534;551
2984;7514745;7515201;710;724
2987;7515201;7514158;534;570
2998;7515201;7514336;544;556
3030;7515201;7514105;544;576
3034;7515201;7514153;544;578
3038;7515201;7514250;544;561
3043;7514250;7515201;731;745
3070;7515201;7514745;544;561
3074;7515201;7514334;544;567
3079;7514334;7515201;727;747
3161;7514153;7515201;672;703
3230;7515201;7514153;482;516
3245;7515201;7514153;513;547
3249;7514153;7515201;712;743
3275;7515201;7514153;497;531
3281;7515201;7514105;506;538
3287;7515201;7514105;526;558
3291;7514105;7515201;723;752
3293;7515201;7514153;531;565
3297;7514153;7515201;734;765
3302;7515201;7514158;495;531
3304;7515201;7514158;525;561
3307;7515201;7514158;476;512
3314;7514153;7515201;679;710
3318;7514105;7515201;690;719
3322;7514250;7515201;697;711
