Departure carTravelID;Arrival carTravelID
2;3
2;6
2;9
2;12
2;15
2;18
2;22
2;24
2;36
2;40
2;42
2;54
2;57
2;60
2;63
2;67
2;73
2;77
2;79
2;103
2;456
2;557
2;582
2;597
2;722
2;1420
2;1458
2;1460
2;1479
2;1486
2;1503
2;1505
2;1521
2;1673
2;1734
2;1772
2;2426
2;2590
2;2595
2;2601
2;2607
2;2613
2;2625
2;2637
2;2655
2;2673
2;2833
2;3443
2;3449
2;3455
2;3461
2;3467
2;3485
2;3491
2;3509
2;7781
2;9093
2;9101
2;9109
2;9137
2;9145
2;9153
2;9181
2;10518
2;10776
2;11921
2;11928
2;11932
2;11951
2;11955
2;11959
2;11963
2;11997
2;13343
2;13347
2;13351
2;13355
2;13359
2;13363
2;13367
2;13391
2;13624
2;13676
2;13685
2;13697
2;13715
2;13724
2;14187
2;14551
2;16528
2;16532
2;16540
2;16547
2;16551
2;16562
2;16569
2;17403
2;17410
2;17414
2;17421
2;17425
2;17433
2;17437
2;17441
2;17463
2;17705
2;18104
2;18125
2;19240
2;19254
2;19266
2;19278
2;19495
2;19825
2;21055
2;21059
2;21066
2;21115
2;21153
2;21192
2;21231
2;21261
2;21428
2;21476
2;21892
2;21952
2;21961
2;21965
2;21973
2;21981
2;21996
2;22114
2;22147
2;22149
2;22153
2;22175
2;22177
2;22183
2;22185
2;22389
2;22672
2;23229
2;23341
2;23677
2;24480
2;26934
2;46873
2;47714
2;47733
2;47756
2;47882
2;47910
2;47940
2;48750
2;48752
2;48756
2;49079
2;49870
2;49921
2;50913
2;50936
2;51198
2;316764
2;1012288
2;4008982
2;4009127
2;4009132
2;4009543
8;3
8;6
8;9
8;12
8;15
8;18
8;22
8;24
8;36
8;40
8;42
8;54
8;57
8;60
8;63
8;67
8;73
8;77
8;79
8;103
8;456
8;557
8;582
8;597
8;722
8;1420
8;1458
8;1460
8;1479
8;1486
8;1503
8;1505
8;1521
8;1673
8;1734
8;1772
8;2426
8;2595
8;2601
8;2607
8;2613
8;2625
8;2637
8;2655
8;2673
8;2833
8;3443
8;3449
8;3455
8;3461
8;3467
8;3485
8;3491
8;3509
8;7781
8;9093
8;9101
8;9109
8;9137
8;9145
8;9153
8;9181
8;10518
8;10776
8;11921
8;11928
8;11932
8;11951
8;11955
8;11959
8;11963
8;11997
8;13343
8;13347
8;13351
8;13355
8;13359
8;13363
8;13367
8;13391
8;13624
8;13676
8;13685
8;13697
8;13715
8;13724
8;14187
8;14551
8;16528
8;16532
8;16540
8;16547
8;16551
8;16562
8;16569
8;17403
8;17410
8;17414
8;17421
8;17425
8;17433
8;17437
8;17441
8;17463
8;17705
8;18104
8;18125
8;19240
8;19254
8;19266
8;19278
8;19495
8;19825
8;21055
8;21059
8;21066
8;21115
8;21153
8;21192
8;21231
8;21261
8;21428
8;21476
8;21892
8;21952
8;21961
8;21965
8;21973
8;21981
8;21996
8;22114
8;22147
8;22149
8;22153
8;22175
8;22177
8;22183
8;22185
8;22389
8;22672
8;23229
8;23341
8;23677
8;24480
8;26934
8;46873
8;47714
8;47733
8;47756
8;47882
8;47910
8;47940
8;48750
8;48752
8;48756
8;49079
8;49870
8;49921
8;50913
8;50936
8;51198
8;316764
8;1012288
8;4008982
8;4009127
8;4009132
8;4009543
14;3
14;6
14;9
14;12
14;15
14;18
14;22
14;24
14;36
14;40
14;42
14;54
14;57
14;60
14;63
14;67
14;73
14;77
14;79
14;103
14;456
14;557
14;582
14;597
14;722
14;1420
14;1458
14;1460
14;1479
14;1486
14;1503
14;1505
14;1521
14;1673
14;1772
14;2426
14;2595
14;2601
14;2607
14;2613
14;2625
14;2637
14;2655
14;2673
14;2833
14;3443
14;3449
14;3455
14;3461
14;3467
14;3485
14;3491
14;3509
14;7781
14;9093
14;9101
14;9109
14;9137
14;9145
14;9153
14;9181
14;10518
14;10776
14;11921
14;11928
14;11932
14;11951
14;11955
14;11959
14;11963
14;11997
14;13343
14;13347
14;13351
14;13355
14;13359
14;13363
14;13367
14;13391
14;13624
14;13676
14;13685
14;13697
14;13715
14;13724
14;14187
14;14551
14;16528
14;16532
14;16540
14;16547
14;16551
14;16562
14;16569
14;17403
14;17410
14;17414
14;17421
14;17425
14;17433
14;17437
14;17441
14;17463
14;17705
14;18104
14;18125
14;19240
14;19254
14;19266
14;19278
14;19495
14;19825
14;21055
14;21059
14;21066
14;21115
14;21153
14;21192
14;21231
14;21261
14;21428
14;21476
14;21892
14;21952
14;21961
14;21965
14;21973
14;21981
14;21996
14;22114
14;22147
14;22149
14;22153
14;22175
14;22177
14;22183
14;22185
14;22389
14;22672
14;23229
14;23341
14;23677
14;24480
14;46873
14;47714
14;47733
14;47756
14;47882
14;47910
14;47940
14;48750
14;48752
14;48756
14;49079
14;49870
14;49921
14;50913
14;50936
14;51198
14;316764
14;1012288
14;4008982
14;4009127
14;4009132
14;4009543
26;3
26;6
26;9
26;12
26;15
26;18
26;20
26;22
26;24
26;36
26;38
26;40
26;42
26;54
26;57
26;60
26;63
26;65
26;67
