TripID;Departure nodeID;Arrival nodeID;Departure time;Arrival time
1;7515201;7514336;312;324
2;7514336;7510001;324;355
3;7510001;7514336;377;411
4;7514336;7514336;418;503
5;7514336;7510001;525;559
6;7510001;7514336;567;601
7;7514336;7510001;625;659
8;7510001;7514336;667;701
9;7514336;7510001;725;759
10;7510001;7514336;766;803
11;7514336;7514336;823;905
12;7514336;7514336;923;1005
13;7514336;7515201;1005;1015
14;7515201;7514336;327;339
15;7514336;7510001;339;370
16;7510001;7514336;387;421
17;7514336;7514336;428;513
18;7514336;7510001;535;569
19;7510001;7514336;577;611
20;7514336;7510001;635;669
21;7510001;7514336;677;711
22;7514336;7510001;735;769
23;7510001;7514336;776;813
24;7514336;7514336;833;915
25;7514336;7514336;933;1013
26;7514336;7514336;1031;1103
27;7514336;7514336;1124;1192
28;7514336;7514799;1192;1197
29;7514799;7514158;1200;1253
30;7514158;7514799;1259;1310
31;7514799;7514336;1310;1315
32;7514336;7514336;1336;1398
33;7514336;7515201;1426;1477
34;7515201;7514336;339;351
35;7514336;7510001;351;385
36;7510001;7514336;397;431
37;7514336;7514336;438;523
38;7514336;7510001;545;579
39;7510001;7514336;587;621
40;7514336;7510001;645;679
41;7510001;7514336;687;721
42;7514336;7510001;745;779
43;7510001;7514336;786;823
44;7514336;7514336;843;925
45;7514336;7514336;943;1023
46;7514336;7515201;1023;1032
47;7515201;7514336;354;366
48;7514336;7510001;366;400
49;7510001;7514336;407;441
50;7514336;7514336;448;533
51;7514336;7510001;555;589
52;7510001;7514336;597;631
53;7514336;7510001;655;689
54;7510001;7514336;697;731
55;7514336;7510001;755;789
56;7510001;7514336;796;833
57;7514336;7514336;853;935
58;7514336;7514336;953;1033
59;7514336;7514336;1046;1118
60;7514336;7514336;1139;1207
61;7514336;7514336;1229;1293
62;7514336;7514336;1321;1383
63;7514336;7514336;1411;1473
64;7514336;7515201;1473;1482
65;7515201;7514336;364;376
66;7514336;7510001;376;410
67;7510001;7514336;417;451
68;7514336;7514336;458;541
69;7514336;7510001;565;599
70;7510001;7514336;607;641
71;7514336;7510001;665;699
72;7510001;7514336;706;743
73;7514336;7510001;765;799
74;7510001;7514336;806;843
75;7514336;7514336;863;945
76;7514336;7514336;963;1043
77;7514336;7514336;1061;1133
78;7514336;7514336;1154;1222
79;7514336;7514336;1244;1308
80;7514336;7514799;1308;1313
81;7514799;7514158;1320;1371
82;7514158;7514799;1379;1430
83;7514799;7514158;1440;1491
84;7514158;7515201;1491;1529
