TripID;Departure nodeID;Arrival nodeID;Departure time;Arrival time
1;5000012;5000013;465;495
2;5000013;5000031;495;525
3;5000031;5000013;530;565
4;5000013;5000031;575;605
5;5000031;5000000;610;647
6;5000000;5000013;745;750
7;5000013;5000062;750;845
8;5000062;5000013;925;1025
9;5000013;5000012;1025;1055
10;5000012;5000013;365;395
11;5000013;5000062;395;490
12;5000062;5000013;575;675
13;5000013;5000012;675;705
14;5000012;5000013;810;840
15;5000013;5000062;840;935
16;5000062;5000013;950;1050
17;5000013;5000000;1050;1052
18;5000000;5000013;1112;1115
19;5000013;5000031;1115;1145
20;5000031;5000012;1150;1215
21;5000012;5000031;475;500
22;5000031;5000000;500;537
23;5000000;5000013;595;650
24;5000013;5000063;665;755
25;5000063;5000013;840;935
26;5000013;5000012;935;965
27;5000012;5000031;455;480
28;5000031;5000013;480;515
29;5000013;5000062;530;625
30;5000062;5000013;715;815
31;5000013;5000012;815;845
32;5000012;5000013;470;500
33;5000013;5000062;500;595
34;5000062;5000013;675;775
35;5000013;5000000;775;777
36;5000000;5000013;807;810
37;5000013;5000062;810;905
38;5000062;5000013;970;1070
39;5000013;5000012;1070;1100
