Departure carTravelID;Arrival carTravelID
2;3
2;6
2;9
2;12
2;15
2;18
2;22
2;24
2;36
2;40
2;42
2;54
2;57
2;60
2;63
2;67
2;73
2;77
2;79
2;137
2;180
2;200
2;215
2;285
2;287
2;289
2;291
2;298
2;300
2;302
2;306
2;311
2;466
2;488
2;493
2;499
2;505
2;511
2;523
2;535
2;553
2;583
2;651
2;657
2;663
2;669
2;675
2;693
2;699
2;1288
2;1384
2;1392
2;1400
2;1428
2;1436
2;1444
2;1578
2;1638
2;1738
2;1745
2;1749
2;1768
2;1772
2;1776
2;1780
2;1840
2;1844
2;1848
2;1852
2;1856
2;1860
2;1864
2;1971
2;2047
2;2182
2;2186
2;2194
2;2201
2;2205
2;2318
2;2325
2;2329
2;2336
2;2340
2;2344
2;2348
2;2352
2;2356
2;2526
2;2540
2;2775
2;2789
2;2801
2;2813
2;2928
2;2932
2;2939
2;2949
2;2954
2;3052
2;3066
2;3075
2;3079
2;3084
2;3099
2;3132
2;3134
2;3139
2;3146
2;3667
2;6386
2;6393
2;6405
2;6428
2;6445
2;6529
2;6586
2;6824
2;6875
2;6994
2;94651
2;95050
2;105310
2;105312
2;105336
2;105347
2;105349
2;105365
2;105367
8;3
8;6
8;9
8;12
8;15
8;18
8;22
8;24
8;36
8;40
8;42
8;54
8;57
8;60
8;63
8;67
8;73
8;77
8;79
8;137
8;180
8;200
8;215
8;285
8;287
8;289
8;291
8;298
8;300
8;302
8;306
8;311
8;466
8;493
8;499
8;505
8;511
8;523
8;535
8;553
8;583
8;651
8;657
8;663
8;669
8;675
8;693
8;699
8;1288
8;1384
8;1392
8;1400
8;1428
8;1436
8;1444
8;1578
8;1638
8;1738
8;1745
8;1749
8;1768
8;1772
8;1776
8;1780
8;1840
8;1844
8;1848
8;1852
8;1856
8;1860
8;1864
8;1971
8;2047
8;2182
8;2186
8;2194
8;2201
8;2205
8;2318
8;2325
8;2329
8;2336
8;2340
8;2344
8;2348
8;2352
8;2356
8;2526
8;2540
8;2775
8;2789
8;2801
8;2813
8;2928
8;2932
8;2939
8;2949
8;2954
8;3052
8;3066
8;3075
8;3079
8;3084
8;3099
8;3132
8;3134
8;3139
8;3146
8;3667
8;6386
8;6393
8;6405
8;6428
8;6445
8;6529
8;6586
8;6824
8;6875
8;6994
8;94651
8;95050
8;105310
8;105312
8;105336
8;105347
8;105349
8;105365
8;105367
14;3
14;6
14;9
14;12
14;15
14;18
14;22
14;24
14;36
14;40
14;42
14;54
14;57
14;60
14;63
14;67
14;73
14;77
14;79
14;137
14;180
14;200
14;215
14;285
14;287
14;289
14;291
14;298
14;300
14;302
14;306
14;311
14;466
14;493
14;499
14;505
14;511
14;523
14;535
14;553
14;583
14;651
14;657
14;663
14;669
14;675
14;693
14;699
14;1288
14;1384
14;1392
14;1400
14;1428
14;1436
14;1444
14;1578
14;1638
14;1738
14;1745
14;1749
14;1768
14;1772
14;1776
14;1780
14;1840
14;1844
14;1848
14;1852
14;1856
14;1860
14;1864
14;1971
14;2047
14;2182
14;2186
14;2194
14;2201
14;2205
14;2318
14;2325
14;2329
14;2336
14;2340
14;2344
14;2348
14;2352
14;2356
14;2526
14;2540
14;2775
14;2789
14;2801
14;2813
14;2928
14;2932
14;2939
14;2949
14;2954
14;3052
14;3066
14;3075
14;3079
14;3084
14;3099
14;3132
14;3134
14;3139
14;3146
14;6386
14;6393
14;6405
14;6428
14;6445
14;6529
14;6586
14;6824
14;6875
14;6994
14;94651
14;95050
14;105310
14;105312
14;105336
14;105347
14;105349
14;105365
14;105367
26;3
26;6
26;9
26;12
26;15
26;18
26;20
26;22
26;24
26;36
26;38
26;40
26;42
26;54
26;57
26;60
26;63
26;65
26;67
26;73
26;75
26;77
26;79
26;137
26;180
26;200
26;215
26;285
26;287
26;289
26;291
26;298
26;300
26;302
26;306
26;311
26;334
26;340
26;466
26;488
26;493
26;499
26;505
26;511
26;523
26;535
26;553
26;583
26;651
26;657
26;663
26;669
26;675
26;693
26;699
26;1288
26;1384
26;1392
26;1400
26;1428
26;1436
26;1444
26;1578
26;1638
26;1738
26;1745
26;1749
26;1768
26;1772
26;1776
26;1780
26;1840
26;1844
26;1848
26;1852
26;1856
26;1860
26;1864
26;1971
26;2047
26;2182
26;2186
26;2194
26;2201
26;2205
26;2318
26;2325
26;2329
26;2336
26;2340
26;2344
26;2348
26;2352
26;2356
26;2526
26;2540
26;2775
26;2789
26;2801
26;2813
26;2928
26;2932
26;2939
26;2949
26;2954
26;3052
26;3066
26;3075
26;3079
26;3084
26;3099
26;3132
26;3134
26;3139
26;3146
26;3667
26;6386
26;6393
26;6405
26;6428
26;6445
26;6529
26;6586
26;6824
26;6875
26;6994
26;19670
26;26141
26;94651
26;95050
26;105310
26;105312
26;105336
26;105347
26;105349
26;105365
26;105367
32;3
32;6
32;9
32;12
32;15
32;18
32;22
32;24
32;36
32;40
32;42
32;54
32;57
32;60
32;63
32;67
32;73
32;77
32;79
32;137
32;180
32;200
32;215
32;285
32;287
32;289
32;291
