TripID;Departure nodeID;Arrival nodeID;Departure time;Arrival time
1;7515201;7514336;312;324
2;7514336;7510001;324;355
3;7510001;7514336;377;411
4;7514336;7514336;418;503
5;7514336;7510001;525;559
6;7510001;7514336;567;601
7;7514336;7510001;625;659
8;7510001;7514336;667;701
9;7514336;7510001;725;759
10;7510001;7514336;766;803
11;7514336;7514336;823;905
12;7514336;7514336;923;1005
13;7514336;7515201;1005;1015
14;7515201;7514336;327;339
15;7514336;7510001;339;370
16;7510001;7514336;387;421
17;7514336;7514336;428;513
18;7514336;7510001;535;569
19;7510001;7514336;577;611
20;7514336;7510001;635;669
21;7510001;7514336;677;711
22;7514336;7510001;735;769
23;7510001;7514336;776;813
24;7514336;7514336;833;915
25;7514336;7514336;933;1013
26;7514336;7514336;1031;1103
27;7514336;7514336;1124;1192
28;7514336;7514799;1192;1197
29;7514799;7514158;1200;1253
30;7514158;7514799;1259;1310
31;7514799;7514336;1310;1315
32;7514336;7514336;1336;1398
33;7514336;7515201;1426;1477
34;7515201;7514336;339;351
35;7514336;7510001;351;385
36;7510001;7514336;397;431
37;7514336;7514336;438;523
38;7514336;7510001;545;579
39;7510001;7514336;587;621
40;7514336;7510001;645;679
41;7510001;7514336;687;721
42;7514336;7510001;745;779
43;7510001;7514336;786;823
44;7514336;7514336;843;925
45;7514336;7514336;943;1023
46;7514336;7515201;1023;1032
47;7515201;7514336;354;366
48;7514336;7510001;366;400
49;7510001;7514336;407;441
50;7514336;7514336;448;533
51;7514336;7510001;555;589
52;7510001;7514336;597;631
53;7514336;7510001;655;689
54;7510001;7514336;697;731
55;7514336;7510001;755;789
56;7510001;7514336;796;833
57;7514336;7514336;853;935
58;7514336;7514336;953;1033
59;7514336;7514336;1046;1118
60;7514336;7514336;1139;1207
61;7514336;7514336;1229;1293
62;7514336;7514336;1321;1383
63;7514336;7514336;1411;1473
64;7514336;7515201;1473;1482
65;7515201;7514336;364;376
66;7514336;7510001;376;410
67;7510001;7514336;417;451
68;7514336;7514336;458;541
69;7514336;7510001;565;599
70;7510001;7514336;607;641
71;7514336;7510001;665;699
72;7510001;7514336;706;743
73;7514336;7510001;765;799
74;7510001;7514336;806;843
75;7514336;7514336;863;945
76;7514336;7514336;963;1043
77;7514336;7514336;1061;1133
78;7514336;7514336;1154;1222
79;7514336;7514336;1244;1308
80;7514336;7514799;1308;1313
81;7514799;7514158;1320;1371
82;7514158;7514799;1379;1430
83;7514799;7514158;1440;1491
84;7514158;7515201;1491;1529
85;7515201;7514336;315;369
86;7514336;7514336;386;463
87;7514336;7514336;468;551
88;7514336;7510001;575;609
89;7510001;7514336;617;651
90;7514336;7510001;675;709
91;7510001;7514336;716;753
92;7514336;7510001;775;809
93;7510001;7514336;816;855
94;7514336;7514336;873;955
95;7514336;7514336;973;1053
96;7514336;7515201;1053;1062
97;7515201;7514336;384;396
98;7514336;7514336;396;473
99;7514336;7514336;478;561
100;7514336;7510001;585;619
101;7510001;7514336;627;661
102;7514336;7510001;685;719
103;7510001;7514336;726;763
104;7514336;7514336;783;865
105;7514336;7514336;883;965
106;7514336;7514336;983;1063
107;7514336;7514336;1076;1148
108;7514336;7514336;1169;1237
109;7514336;7514336;1261;1323
110;7514336;7514336;1351;1413
111;7514336;7515201;1413;1422
112;7515201;7514336;332;391
113;7514336;7514336;406;483
114;7514336;7514336;488;571
115;7514336;7510001;595;629
116;7510001;7514336;637;671
117;7514336;7510001;695;729
118;7510001;7514336;736;773
119;7514336;7514336;793;875
120;7514336;7514336;893;975
121;7514336;7510001;993;1030
122;7510001;7514336;1039;1076
123;7514336;7514336;1091;1163
124;7514336;7514336;1184;1252
125;7514336;7514799;1252;1257
126;7514799;7514158;1260;1313
127;7514158;7514799;1319;1370
128;7514799;7514336;1370;1375
129;7514336;7514336;1396;1458
130;7514336;7515201;1458;1467
131;7515201;7514336;396;408
132;7514336;7514336;408;493
133;7514336;7510001;501;535
134;7510001;7514336;547;581
135;7514336;7510001;605;639
136;7510001;7514336;647;681
137;7514336;7510001;705;739
138;7510001;7514336;746;783
139;7514336;7514336;803;885
140;7514336;7514336;903;985
141;7514336;7515201;1003;1062
142;7515201;7514250;308;325
143;7514250;7514105;325;373
144;7514105;7514250;397;451
145;7514250;7514153;462;523
146;7514153;7514250;556;610
147;7514250;7514153;617;672
148;7514153;7514250;696;751
149;7514250;7514105;767;825
150;7514105;7514250;843;903
151;7514250;7514153;911;975
152;7514153;7515201;975;1011
