DutyID;Paid time or cost of duty;Trips;Car travels
1;258;"1, 4, ";"1, 2, 3, "
2;353;"1, 4, 5, 6, ";"1, 2, 6, "
3;258;"1, 17, ";"1, 8, 9, "
4;353;"1, 17, 18, 19, ";"1, 8, 12, "
5;258;"1, 37, ";"1, 14, 15, "
6;353;"1, 37, 38, 39, ";"1, 14, 18, "
7;258;"1, 47, ";"1, 20, "
8;258;"1, 47, 48, 49, ";"1, 22, "
9;330;"1, 47, 48, 49, 50, ";"1, 24, "
10;258;"1, 48, 49, ";"1, 26, 22, "
11;330;"1, 48, 49, 50, ";"1, 26, 24, "
12;258;"1, 50, ";"1, 32, 24, "
13;353;"1, 50, 51, 52, ";"1, 32, 36, "
14;258;"1, 65, ";"1, 38, "
15;258;"1, 65, 66, 67, ";"1, 40, "
16;328;"1, 65, 66, 67, 68, ";"1, 42, "
17;258;"1, 66, 67, ";"1, 44, 40, "
18;328;"1, 66, 67, 68, ";"1, 44, 42, "
19;258;"1, 68, ";"1, 50, 42, "
20;353;"1, 68, 69, 70, ";"1, 50, 54, "
21;258;"1, 86, ";"1, 56, 57, "
22;259;"1, 87, ";"1, 59, 60, "
23;359;"1, 87, 88, 89, ";"1, 59, 63, "
24;258;"1, 97, ";"1, 65, "
25;258;"1, 97, 98, ";"1, 67, "
26;258;"1, 98, ";"1, 69, 67, "
27;258;"1, 113, ";"1, 72, 73, "
28;258;"1, 131, ";"1, 75, "
29;258;"1, 131, 132, ";"1, 77, "
30;336;"1, 131, 132, 133, 134, ";"1, 79, "
31;258;"1, 132, ";"1, 81, 77, "
32;336;"1, 132, 133, 134, ";"1, 81, 79, "
33;332;"1, 145, 146, ";"1, 87, 88, "
34;363;"1, 4, 18, 19, ";"1, 2, 12, "
35;373;"1, 4, 38, 39, ";"1, 2, 18, "
36;363;"1, 17, 38, 39, ";"1, 8, 18, "
37;373;"1, 17, 51, 52, ";"1, 8, 36, "
38;363;"1, 37, 51, 52, ";"1, 14, 36, "
39;373;"1, 37, 69, 70, ";"1, 14, 54, "
40;258;"1, 47, 66, 67, ";"1, 40, "
41;338;"1, 47, 66, 67, 68, ";"1, 42, "
42;258;"1, 47, 97, ";"1, 20, 65, "
43;270;"1, 47, 97, 98, ";"1, 20, 67, "
44;270;"1, 47, 98, ";"1, 67, "
45;280;"1, 47, 113, ";"1, 73, "
46;258;"1, 47, 131, ";"1, 20, 75, "
