TripID;Departure nodeID;Arrival nodeID;Departure time;Arrival time
1;7515201;7514153;406;445
2;7514153;7514250;445;505
3;7514250;7514153;517;572
4;7514153;7514250;616;670
5;7514250;7514153;677;734
6;7514153;7514250;756;811
7;7514250;7514105;817;875
8;7514105;7514250;888;951
9;7514250;7515201;951;967
10;7515201;7514105;796;828
11;7514105;7514250;828;888
12;7514250;7514153;896;960
13;7514153;7514250;971;1031
14;7514250;7515201;1031;1045
15;7515201;7514153;787;821
16;7514153;7514250;821;881
17;7514250;7514105;889;954
18;7514105;7514250;963;1023
19;7514250;7514105;1037;1093
20;7514105;7514745;1093;1118
21;7514745;7514334;1179;1229
22;7514334;7514745;1240;1291
23;7514745;7515201;1291;1305
