Departure carTravelID;Arrival carTravelID
2;6
2;7
2;20
2;65
2;228
2;241
2;244
2;260
2;1611
2;2247
8;3
8;12
8;23
8;53
8;62
8;79
8;110
8;112
8;118
8;132
8;170
8;194
8;318
8;1960
22;6
22;20
22;65
22;228
22;241
22;244
22;260
22;2247
24;1
24;6
24;7
24;20
24;65
24;228
24;241
24;244
24;260
24;1611
24;2247
46;3
46;12
46;23
46;53
46;62
46;79
46;110
46;112
46;118
46;132
46;170
46;194
46;318
46;1960
46;2176
46;2241
48;12
48;23
48;53
48;62
48;79
48;110
48;132
48;170
48;194
48;318
48;1960
68;16
68;49
68;82
68;232
68;291
68;330
68;2251
85;20
85;65
85;228
169;53
169;62
169;110
169;132
169;170
169;194
169;318
169;1960
193;53
193;62
193;79
193;110
193;132
193;170
193;194
193;318
193;1960
197;49
197;82
197;232
197;291
197;330
197;2251
224;49
224;82
224;232
224;291
224;330
224;2251
236;170
236;194
236;318
236;1960
272;53
272;110
272;170
272;194
272;318
272;1960
286;82
286;232
286;291
286;330
303;291
303;330
317;65
317;228
338;65
338;228
339;291
339;330
366;170
366;318
369;170
369;194
369;318
369;1960
427;291
427;330
689;295
689;335
689;509
811;295
811;335
811;509
1098;389
1098;817
1119;509
