DutyID;Paid time or cost of duty;Trips;Car travels
1;295;"1, 4, ";"1, 2, 3, "
2;376;"1, 4, 5, ";"1, 2, 6, "
3;370;"1, 2, 3, 5, ";"7, 8, 6, "
4;430;"1, 2, 3, 5, 6, ";"7, 8, 12, "
5;462;"1, 2, 3, 5, 10, ";"7, 8, 6, 16, "
6;457;"1, 2, 3, 5, 15, ";"7, 8, 6, 20, "
7;437;"1, 2, 3, 6, ";"7, 22, 23, "
8;365;"2, 3, 5, ";"24, 7, 8, 6, "
9;425;"2, 3, 5, 6, ";"24, 7, 8, 12, "
10;457;"2, 3, 5, 10, ";"24, 7, 8, 6, 16, "
11;452;"2, 3, 5, 15, ";"24, 7, 8, 6, 20, "
12;432;"2, 3, 6, ";"24, 7, 22, 23, "
13;427;"3, 4, 7, ";"46, 3, 48, 49, "
14;488;"3, 4, 7, 8, ";"46, 3, 48, 53, "
15;490;"3, 4, 7, 8, 9, ";"46, 3, 48, "
16;380;"3, 4, 10, ";"46, 3, 16, "
17;425;"3, 4, 10, 11, ";"46, 3, 62, "
18;514;"3, 4, 10, 11, 12, ";"46, 3, 65, "
19;425;"3, 4, 11, ";"46, 3, 68, 62, "
20;514;"3, 4, 11, 12, ";"46, 3, 68, 65, "
21;375;"3, 4, 15, ";"46, 3, 20, "
22;418;"3, 4, 15, 16, ";"46, 3, 79, "
23;506;"3, 4, 15, 16, 17, ";"46, 3, 82, "
24;418;"3, 4, 16, ";"46, 3, 85, 79, "
25;506;"3, 4, 16, 17, ";"46, 3, 85, 82, "
26;490;"3, 4, 10, 11, 9, ";"46, 3, "
27;490;"3, 4, 11, 9, ";"46, 3, 68, "
28;490;"3, 4, 15, 16, 9, ";"46, 3, "
29;514;"3, 4, 15, 16, 12, ";"46, 3, 65, "
30;490;"3, 4, 16, 9, ";"46, 3, 85, "
31;514;"3, 4, 16, 12, ";"46, 3, 85, 65, "
32;495;"3, 4, 10, 8, ";"46, 3, 110, "
33;380;"3, 4, 10, ";"46, 112, 16, "
34;514;"3, 4, 10, 11, 12, ";"46, 112, 65, "
35;375;"3, 4, 15, ";"46, 118, 20, "
36;506;"3, 4, 15, 16, 17, ";"46, 118, 82, "
37;490;"3, 4, 10, 11, 9, ";"46, 112, "
38;490;"3, 4, 15, 16, 9, ";"46, 118, "
39;514;"3, 4, 15, 16, 12, ";"46, 118, 65, "
40;432;"3, 4, 10, 11, ";"46, 112, 132, "
41;425;"3, 4, 15, 16, ";"46, 118, 62, "
42;495;"3, 4, 10, 8, ";"46, 112, 110, "
43;262;"5, 7, ";"8, 6, 48, 49, "
44;323;"5, 7, 8, ";"8, 6, 48, 53, "
45;325;"5, 7, 8, 9, ";"8, 6, 48, "
46;258;"5, 10, ";"8, 6, 16, "
47;260;"5, 10, 11, ";"8, 6, 62, "
48;349;"5, 10, 11, 12, ";"8, 6, 65, "
49;260;"5, 11, ";"8, 6, 68, 62, "
50;349;"5, 11, 12, ";"8, 6, 68, 65, "
51;403;"5, 12, 13, ";"8, 6, 169, 170, "
52;403;"5, 12, 13, 14, ";"8, 6, 169, "
53;258;"5, 15, ";"8, 6, 20, "
54;258;"5, 15, 16, ";"8, 6, 79, "
55;341;"5, 15, 16, 17, ";"8, 6, 82, "
56;258;"5, 16, ";"8, 6, 85, 79, "
57;341;"5, 16, 17, ";"8, 6, 85, 82, "
58;395;"5, 17, 18, ";"8, 6, 193, 194, "
59;403;"5, 8, 14, ";"8, 6, 197, "
60;325;"5, 10, 11, 9, ";"8, 6, "
61;325;"5, 11, 9, ";"8, 6, 68, "
62;325;"5, 15, 16, 9, ";"8, 6, "
63;349;"5, 15, 16, 12, ";"8, 6, 65, "
64;325;"5, 16, 9, ";"8, 6, 85, "
65;349;"5, 16, 12, ";"8, 6, 85, 65, "
66;403;"5, 17, 18, 14, ";"8, 6, 193, "
67;330;"5, 8, ";"8, 6, 197, 110, "
68;325;"5, 8, 9, ";"8, 6, 224, "
69;356;"5, 12, ";"8, 6, 169, 228, "
70;348;"5, 17, ";"8, 6, 193, 232, "
71;403;"5, 8, 9, 14, ";"8, 6, 224, 236, "
72;330;"5, 10, 8, ";"8, 6, 110, "
73;258;"5, 10, ";"8, 241, 16, "
74;258;"5, 15, ";"8, 244, 20, "
75;258;"5, 16, ";"8, 79, "
76;341;"5, 16, 17, ";"8, 82, "
77;395;"5, 16, 17, 18, ";"8, 194, "
78;325;"5, 16, 9, ";"8, "
79;349;"5, 16, 12, ";"8, 65, "
80;403;"5, 16, 12, 13, ";"8, 170, "
81;403;"5, 16, 12, 13, 14, ";"8, "
82;403;"5, 16, 17, 18, 14, ";"8, "
83;286;"5, 10, 11, ";"8, 260, 62, "
84;375;"5, 10, 11, 12, ";"8, 260, 65, "
85;349;"5, 10, 8, ";"8, 241, 110, "
86;351;"5, 10, 11, 9, ";"8, 260, "
87;325;"5, 6, 9, ";"8, 12, 272, "
88;403;"5, 6, 12, 13, ";"8, 12, 169, 170, "
89;403;"5, 6, 12, 13, 14, ";"8, 12, 169, "
90;395;"5, 6, 17, 18, ";"8, 12, 193, 194, "
91;395;"5, 6, 18, ";"8, 12, 286, 194, "
92;480;"5, 6, 18, 19, ";"8, 12, 286, 291, "
93;490;"5, 6, 18, 19, 20, ";"8, 12, 286, 295, "
94;403;"5, 6, 9, 14, ";"8, 12, 272, 236, "
95;490;"5, 6, 9, 20, ";"8, 12, 272, 303, 295, "
96;403;"5, 6, 17, 18, 14, ";"8, 12, 193, "
97;403;"5, 6, 18, 14, ";"8, 12, 286, "
98;356;"5, 6, 12, ";"8, 12, 169, 228, "
99;410;"5, 6, 13, ";"8, 12, 317, 318, "
100;410;"5, 6, 13, 14, ";"8, 12, 317, "
101;348;"5, 6, 17, ";"8, 12, 193, 232, "
102;487;"5, 6, 9, 19, ";"8, 12, 272, 236, 330, "
103;497;"5, 6, 9, 19, 20, ";"8, 12, 272, 236, 335, "
104;490;"5, 6, 13, 14, 20, ";"8, 12, 338, 339, 295, "
105;349;"5, 6, 12, ";"8, 65, "
106;403;"5, 6, 12, 13, ";"8, 170, "
107;403;"5, 6, 12, 13, 14, ";"8, "
108;341;"5, 6, 17, ";"8, 82, "
109;395;"5, 6, 17, 18, ";"8, 194, "
110;403;"5, 6, 17, 18, 14, ";"8, "
111;302;"6, 12, ";"22, 65, "
112;356;"6, 12, 13, ";"22, 170, "
113;356;"6, 12, 13, 14, ";"22, "
114;294;"6, 17, ";"22, 82, "
115;348;"6, 17, 18, ";"22, 194, "
116;356;"6, 17, 18, 14, ";"22, "
117;258;"7, 9, ";"48, 49, 272, "
118;262;"7, 14, ";"48, 49, 366, "
119;339;"7, 19, ";"48, 49, 369, 291, "
120;262;"7, 9, 14, ";"48, 49, 272, 236, "
121;349;"7, 9, 20, ";"48, 49, 272, 303, 295, "
122;349;"7, 14, 20, ";"48, 49, 366, 339, 295, "
123;466;"7, 14, 20, 21, ";"48, 49, 366, 339, 389, "
124;269;"7, 13, ";"48, 49, 317, 318, "
125;269;"7, 13, 14, ";"48, 49, 317, "
126;356;"7, 19, 20, ";"48, 49, 369, 335, "
127;346;"7, 9, 19, ";"48, 49, 272, 236, 330, "
128;356;"7, 9, 19, 20, ";"48, 49, 272, 236, 335, "
129;258;"7, 18, ";"48, 194, "
130;339;"7, 18, 19, ";"48, 291, "
131;349;"7, 18, 19, 20, ";"48, 295, "
132;262;"7, 18, 14, ";"48, "
133;316;"7, 8, 14, ";"48, 53, 366, "
134;339;"7, 8, 19, ";"48, 53, 369, 291, "
135;349;"7, 8, 20, ";"48, 53, 427, 295, "
136;466;"7, 8, 20, 21, ";"48, 53, 427, 389, "
137;349;"7, 8, 14, 20, ";"48, 53, 366, 339, 295, "
138;466;"7, 8, 14, 20, 21, ";"48, 53, 366, 339, 389, "
139;356;"7, 8, 19, 20, ";"48, 53, 369, 335, "
140;302;"7, 8, 14, ";"48, "
141;339;"7, 8, 19, ";"48, 291, "
142;349;"7, 8, 19, 20, ";"48, 295, "
143;466;"7, 8, 19, 20, 21, ";"48, 389, "
144;349;"7, 8, 14, 20, ";"48, 339, 295, "
145;466;"7, 8, 14, 20, 21, ";"48, 339, 389, "
146;318;"7, 8, 9, 14, ";"48, 366, "
147;339;"7, 8, 9, 19, ";"48, 369, 291, "
148;349;"7, 8, 9, 20, ";"48, 427, 295, "
149;466;"7, 8, 9, 20, 21, ";"48, 427, 389, "
150;349;"7, 8, 9, 14, 20, ";"48, 366, 339, 295, "
151;466;"7, 8, 9, 14, 20, 21, ";"48, 366, 339, 389, "
152;356;"7, 8, 9, 19, 20, ";"48, 369, 335, "
153;335;"7, 8, 9, 14, ";"48, 236, "
154;339;"7, 8, 9, 19, ";"48, 236, 291, "
155;349;"7, 8, 9, 19, 20, ";"48, 236, 295, "
156;466;"7, 8, 9, 19, 20, 21, ";"48, 236, 389, "
157;349;"7, 8, 9, 14, 20, ";"48, 236, 339, 295, "
158;466;"7, 8, 9, 14, 20, 21, ";"48, 236, 339, 389, "
159;350;"7, 8, 9, 20, ";"48, 303, 295, "
160;466;"7, 8, 9, 20, 21, ";"48, 303, 389, "
161;522;"7, 8, 9, 20, 21, 22, ";"48, 303, 509, "
162;522;"7, 8, 9, 20, 21, 22, 23, ";"48, 303, "
163;258;"8, 14, ";"197, "
164;290;"8, 19, ";"197, 291, "
165;300;"8, 19, 20, ";"197, 295, "
166;417;"8, 19, 20, 21, ";"197, 389, "
167;300;"8, 14, 20, ";"197, 339, 295, "
168;417;"8, 14, 20, 21, ";"197, 339, 389, "
169;258;"9, 14, ";"272, 366, "
170;258;"9, 19, ";"272, 369, 291, "
171;258;"9, 20, ";"272, 427, 295, "
172;330;"9, 20, 21, ";"272, 427, 389, "
173;260;"9, 14, 20, ";"272, 366, 339, 295, "
174;377;"9, 14, 20, 21, ";"272, 366, 339, 389, "
175;275;"9, 19, 20, ";"272, 369, 335, "
176;258;"9, 14, ";"272, 236, "
177;258;"9, 19, ";"272, 236, 291, "
178;258;"9, 19, 20, ";"272, 236, 295, "
179;368;"9, 19, 20, 21, ";"272, 236, 389, "
180;258;"9, 14, 20, ";"272, 236, 339, 295, "
181;360;"9, 14, 20, 21, ";"272, 236, 339, 389, "
182;258;"9, 20, ";"272, 303, 295, "
183;326;"9, 20, 21, ";"272, 303, 389, "
184;382;"9, 20, 21, 22, ";"272, 303, 509, "
185;382;"9, 20, 21, 22, 23, ";"272, 303, "
186;258;"10, 9, ";"16, 272, "
